m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
380,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Italy,2019,27.16012976,%,E,false
380,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Italy,2020,27.10208659,%,E,false
380,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Italy,2021,26.95791238,%,E,false
380,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Italy,2022,27.02670763,%,E,false
392,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Japan,2019,18.87755102,%,E,false
392,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Japan,2020,16.93851945,%,E,false
392,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Japan,2021,16.98113208,%,E,false
392,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Japan,2022,16.98113208,%,E,false
428,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Latvia,2019,49.84353045,%,E,false
428,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Latvia,2020,52.62318513,%,E,false
428,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Latvia,2021,52.67823258,%,E,false
428,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Latvia,2022,53.35279167,%,E,false
434,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Libya,2019,12.00686106,%,I,false
434,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Libya,2020,12.00686106,%,I,false
434,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Libya,2021,12.00686106,%,I,false
434,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Libya,2022,12.00686106,%,I,false
440,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Lithuania,2019,42.14171468,%,E,false
440,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Lithuania,2020,33.52609801,%,E,false
440,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Lithuania,2021,38.96231998,%,E,false
440,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Lithuania,2022,45.53868691,%,E,false
442,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Luxembourg,2019,89.85801217,%,E,false
442,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Luxembourg,2020,100,%,E,false
442,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Luxembourg,2021,89.63719314,%,E,false
442,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Luxembourg,2022,91.18139925,%,E,false
470,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Malta,2019,61.89769534,%,E,false
470,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Malta,2020,60.38204245,%,E,false
470,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Malta,2021,61.60332558,%,E,false
470,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Malta,2022,63.85399712,%,E,false
492,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Monaco,2019,100,%,I,false
492,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Monaco,2020,100,%,I,false
492,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Monaco,2021,100,%,I,false
492,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Monaco,2022,100,%,I,false
496,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Mongolia,2019,9.796712803,%,I,false
496,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Mongolia,2020,9.796712803,%,I,false
496,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Mongolia,2021,9.796712803,%,I,false
496,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Mongolia,2022,9.796712803,%,I,false
499,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Montenegro,2019,5.506168716,%,E,false
